,Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment Terms Name,Next Payment Due At,new_email,New Phone,Nombre modo privado,Calle modo privado,Direccion modo privado,Company_joined,Id
0,#5594,paid,2025-11-03 12:19:02 +0100,unfulfilled,,no,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-11-03 12:19:01 +0100,1,Kit Paseo Matcha Green - M / Manos Libres (1.80m),60.0,72.0,,True,True,pending,Lyon,'69008,,FR,Villeurbanne,'69100,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,,,,,,7449095852,Name_0001,Street_0001,Addr_0001,,ID_E8A817258F
1,#5593,paid,2025-11-03 11:19:44 +0100,unfulfilled,,yes,EUR,62.78,3.99,0.0,66.77,,16.68,Standard Shipping,2025-11-03 11:19:44 +0100,1,Kit Paseo Sunset Orange - M / Clásica (1.80m),79.46,98.64,RDKIT-ORANGE-M,True,True,pending,Antwerpen,'2018,,BE,Antwerpen,'2018,,BE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,16.68,,,,,,,,,,,,,,,,,email2@gmail.com,7875611576,Name_0002,Street_0002,Addr_0002,,ID_3A124AD99A
2,#5592,paid,2025-11-03 10:11:08 +0100,unfulfilled,,yes,EUR,28.44,3.99,0.0,32.43,,7.56,Standard Shipping,2025-11-03 10:11:07 +0100,1,Arnés Comfort Chocolate Brown - S,36.0,,RDHAR-BROWN-S,True,True,pending,Angers,'75014,,FR,Paris,'75014,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,7.56,,,,,,,,,,,,,,,,,email3@essca.eu,5608248195,Name_0003,Street_0003,Addr_0003,,ID_61F3992906
3,#5591,paid,2025-11-03 09:20:07 +0100,unfulfilled,,yes,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-11-03 09:20:06 +0100,1,Kit Paseo Sunset Orange - S / Clásica (1.80m),58.0,72.0,RDKIT-ORANGE-S,True,True,pending,Barcelona,'08003,B,ES,Barcelona,'08003,B,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Barcelona,Barcelona,,,email4@gmail.com,+34675280530,Name_0004,Street_0004,Addr_0004,,ID_C536E514F7
4,#5590,paid,2025-11-03 08:39:30 +0100,unfulfilled,,yes,EUR,45.0,3.99,7.81,48.99,FELICES25,15.0,Estándar,2025-11-03 08:39:29 +0100,1,Kit Paseo Honey Yellow - M / Manos Libres (1.80m),60.0,72.0,,True,True,pending,Sant Feliu de Llobregat,'08980,B,ES,Sant Feliu de Llobregat,'08980,B,ES,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,0.0,VAT 21 %,7.81,,,,,,,,,,,Barcelona,Barcelona,,,email5@hotmail.com,692801638,Name_0005,Street_0005,Addr_0005,,ID_5AAB7E280A
5,#5589,paid,2025-11-02 23:33:04 +0100,fulfilled,2025-11-03 08:06:52 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Entrega ao domicílio,2025-11-02 23:33:03 +0100,1,Kit Paseo Matcha Green - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Guimarães,4835-035,PT-03,PT,Guimarães,4835-035,PT-03,PT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Distrito de Braga,Distrito de Braga,,,email6@gmail.com,115300941,Name_0006,Street_0006,Addr_0006,,ID_F2FE97C189
6,#5588,paid,2025-11-02 21:34:38 +0100,fulfilled,2025-11-03 08:06:51 +0100,yes,EUR,29.63,3.99,5.14,33.62,,7.87,Estándar,2025-11-02 21:34:38 +0100,1,Arnés Comfort Chocolate Brown - L,37.5,,RDHAR-BROWN-L,True,True,fulfilled,Fuenlabrada,'28942,M,ES,Fuenlabrada,'28942,M,ES,Harley ,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,7.87,VAT 21 %,5.14,,,,,,,,,,,Madrid,Madrid,,,email7@gmail.com,802727826,Name_0007,Street_0007,Addr_0007,,ID_1A9FC7840C
7,#5587,paid,2025-11-02 21:11:30 +0100,fulfilled,2025-11-03 08:06:49 +0100,yes,EUR,28.13,3.99,4.88,32.12,FRIEND25,9.37,Estándar,2025-11-02 21:11:29 +0100,1,Arnés Comfort Passion Red - S,37.5,,RDHAR-RED-S,True,True,fulfilled,Valladolid,'47013,VA,ES,Valladolid,'47002,VA,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,0.0,VAT 21 %,4.88,,,,,,,,,,,Valladolid,Valladolid,,,email8@gmail.com,+34662796515,Name_0008,Street_0008,Addr_0008,,ID_10B81B5285
8,#5586,paid,2025-11-02 21:04:45 +0100,fulfilled,2025-11-03 08:06:48 +0100,yes,EUR,47.4,3.99,0.0,51.39,,12.6,Standard Shipping,2025-11-02 21:04:45 +0100,1,Kit Paseo Baby Blue - L / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Varazze,'17019,SV,IT,Varazze,'17019,SV,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.6,,,,,,,,,,,,,Savona,Savona,,,email9@gmail.com,+393553391978,Name_0009,Street_0009,Addr_0009,,ID_9651357B67
9,#5585,paid,2025-11-02 20:45:55 +0100,fulfilled,2025-11-03 08:06:47 +0100,yes,EUR,45.82,3.99,7.95,49.81,,12.18,Estándar,2025-11-02 20:45:54 +0100,1,Kit Paseo Passion Red - S / Clásica (1.80m),58.0,72.0,RDKIT-RED-S,True,True,fulfilled,El Masnou,'08320,B,ES,El Masnou,'08320,B,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,12.18,VAT 21 %,7.95,,,,,,,,,,,Barcelona,Barcelona,,,email10@gmail.com,327066021,Name_0010,Street_0010,Addr_0010,,ID_E6267E11D6
